Vivado Simulator 2019.1
Time resolution is 1 ps
Block Memory Generator module testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
blk_mem_gen_v8_4_3 collision detected at time: 52415000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: a, B read address: a
blk_mem_gen_v8_4_3 collision detected at time: 52655000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: b, B read address: b
blk_mem_gen_v8_4_3 collision detected at time: 52735000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: b, B read address: b
blk_mem_gen_v8_4_3 collision detected at time: 52815000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: b, B read address: b
blk_mem_gen_v8_4_3 collision detected at time: 52895000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: b, B read address: b
blk_mem_gen_v8_4_3 collision detected at time: 52975000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: b, B read address: b
blk_mem_gen_v8_4_3 collision detected at time: 53055000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: b, B read address: b
blk_mem_gen_v8_4_3 collision detected at time: 53135000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: b, B read address: b
blk_mem_gen_v8_4_3 collision detected at time: 53215000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: b, B read address: b
blk_mem_gen_v8_4_3 collision detected at time: 53295000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: b, B read address: b
blk_mem_gen_v8_4_3 collision detected at time: 53375000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: b, B read address: b
blk_mem_gen_v8_4_3 collision detected at time: 53455000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: b, B read address: b
blk_mem_gen_v8_4_3 collision detected at time: 53535000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: b, B read address: b
blk_mem_gen_v8_4_3 collision detected at time: 53615000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: b, B read address: b
blk_mem_gen_v8_4_3 collision detected at time: 53695000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: b, B read address: b
blk_mem_gen_v8_4_3 collision detected at time: 53935000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: c, B read address: c
blk_mem_gen_v8_4_3 collision detected at time: 54015000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: c, B read address: c
blk_mem_gen_v8_4_3 collision detected at time: 54095000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: c, B read address: c
blk_mem_gen_v8_4_3 collision detected at time: 54175000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: c, B read address: c
blk_mem_gen_v8_4_3 collision detected at time: 54255000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: c, B read address: c
blk_mem_gen_v8_4_3 collision detected at time: 54335000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: c, B read address: c
blk_mem_gen_v8_4_3 collision detected at time: 54415000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: c, B read address: c
blk_mem_gen_v8_4_3 collision detected at time: 54495000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: c, B read address: c
blk_mem_gen_v8_4_3 collision detected at time: 54575000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: c, B read address: c
blk_mem_gen_v8_4_3 collision detected at time: 54655000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: c, B read address: c
blk_mem_gen_v8_4_3 collision detected at time: 54735000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: c, B read address: c
blk_mem_gen_v8_4_3 collision detected at time: 54815000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: c, B read address: c
blk_mem_gen_v8_4_3 collision detected at time: 54895000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: c, B read address: c
blk_mem_gen_v8_4_3 collision detected at time: 54975000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: c, B read address: c
blk_mem_gen_v8_4_3 collision detected at time: 55215000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: d, B read address: d
blk_mem_gen_v8_4_3 collision detected at time: 55295000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: d, B read address: d
blk_mem_gen_v8_4_3 collision detected at time: 55375000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: d, B read address: d
blk_mem_gen_v8_4_3 collision detected at time: 55455000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: d, B read address: d
blk_mem_gen_v8_4_3 collision detected at time: 55535000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: d, B read address: d
blk_mem_gen_v8_4_3 collision detected at time: 55615000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: d, B read address: d
blk_mem_gen_v8_4_3 collision detected at time: 55695000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: d, B read address: d
blk_mem_gen_v8_4_3 collision detected at time: 55775000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: d, B read address: d
blk_mem_gen_v8_4_3 collision detected at time: 55855000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: d, B read address: d
blk_mem_gen_v8_4_3 collision detected at time: 55935000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: d, B read address: d
blk_mem_gen_v8_4_3 collision detected at time: 56015000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: d, B read address: d
